emission	unit	sector	Changes in inventories	Changes in valuables	Exports fob (2)	Final consumption expenditure by government	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Gross fixed capital formation
GHG	Mt	Agriculture, forestry & fishing	0.0135136510696944	0.0	1.872807916860977	0.0	2.3321829568078987	0.0	0.0981636278344513
GHG	Mt	Business Services	0.6649960286623137	0.0	1.0267020636193305	0.0097621560863345	2.573585411914113	0.0	1.6806826082977089
GHG	Mt	Construction	2.0385915214522967	0.0	0.0667589397275759	0.0053289183139694	0.0565877926256679	0.0	8.39623096874645
GHG	Mt	Electrical & machinery	0.1000866186527005	0.0	1.972824468111401	0.0157248744939962	2.698668781905481	0.0	3.207753464554308
GHG	Mt	Electricity, gas & water	0.2613807419781995	0.0	0.3852424505304431	0.059958123443258	1.3254002899287602	0.0	0.1542616728835363
GHG	Mt	Food, beverages & tobacco	1.3491019733702103	0.0	2.379787124341547	0.001860814219088	6.242697143881414	0.0	0.0609035033697022
GHG	Mt	Metal & metal products	0.0	0.0	6.395026864301261	0.0079732828861125	0.2950060420328245	0.0	0.6721469849343269
GHG	Mt	Mining & quarrying	0.8743407404558057	0.0	13.523519403438089	0.0108244108624899	0.196800429470997	0.0	2.4719674618230245
GHG	Mt	Other manufacturing & recycl.	0.0063732845327001	0.0	0.2324612211927446	0.0935586891434693	1.3571407574559815	0.0	0.8746019299947777
GHG	Mt	Petroleum, chem & non-met	0.4982573309468915	0.0	6.743636874382244	0.3562631534101111	3.1949075310662245	0.0	0.3231661448424659
GHG	Mt	Public services	1.276161925264502e-07	0.0	0.0264204030857934	6.115679460143007	0.6283400841475031	0.2400709122100225	0.1770829508867553
GHG	Mt	Recreation; other services	0.0006815278177845	0.0	0.0159709752651135	0.1255217303448295	0.4863137387350998	0.4138202091771104	0.0320952200867432
GHG	Mt	Textiles & wearing apparel	0.0	0.0	0.0847472237390026	0.0017335303084875	2.3205402282902314	0.0	0.0272891368475995
GHG	Mt	Transport	0.0803527142990269	0.0	17.553654455666063	0.1800309916157268	2.1592725921272438	0.0	0.9750216451574558
GHG	Mt	Transport equipment	0.5117659342045708	0.0	0.6551462017680313	0.0225551350708042	1.765696904934358	0.0	3.050793997141419
GHG	Mt	Wholesale, retail & hospitality	0.2094580097172274	0.0	1.1675921740808	0.0974868675097246	3.3847740811138567	0.0	0.3693479080139721
GHG	Mt	Wood, paper & publishing	0.0	0.0	0.450693324234551	0.0002069902935014	0.179577783701896	0.0	0.0793155894035985
