component	emission	unit	2012	2013	2014	2015	2016	2017	2018	2019	2020
domestic_footprint	GHG	Mt	23.5445080184264	25.12955625117941	24.45174794362602	25.9507584796055	23.0935851948686	23.032043422521	23.67901622267725	23.799643395479297	22.31128434508928
footprint_gross_exports	GHG	Mt	65.08421341977052	64.91543361218567	63.54077955313757	67.446106301528	58.88084321911287	58.99312228061013	63.47863159690263	62.94808625636241	54.40391316792679
footprint_gross_imports	GHG	Mt	86.56684327677635	92.66438082469786	86.0089658473133	78.6029034094466	73.58530572853525	65.51655893076823	69.69607638522137	66.16542883141935	59.370523490742364
household_totals	GHG	Mt	6.720073798513001	6.5608480286537	6.4092582400763005	6.407111177174599	6.273190952527499	5.746854288538	5.6536198547377	5.059567095456499	5.1083347565072
import_footprint	GHG	Mt	60.29829394309684	65.31126678431372	60.16452833645072	54.3404644014642	51.98293500476088	46.23463689885441	48.283109356720495	45.39581189790936	42.80115752576579
production_account	GHG	Mt	62.3601721045174	62.6918758229809	62.14808998590101	69.13442577315111	60.3720576902071	62.7432436712173	65.74468079107899	65.9781127183317	60.1458315480395
production_account_with_households	GHG	Mt	69.0802459030304	69.2527238516346	68.55734822597731	75.5415369503257	66.6452486427346	68.4900979597553	71.39830064581669	71.0376798137882	65.2541663045467
total_footprint	GHG	Mt	83.84280196152324	90.44082303549312	84.61627628007675	80.2912228810697	75.07652019962948	69.26668032137542	71.96212557939775	69.19545529338865	65.11244187085508
total_footprint_with_households	GHG	Mt	90.56287576003623	97.00167106414682	91.02553452015304	86.6983340582443	81.34971115215698	75.01353460991342	77.61574543413545	74.25502238884515	70.22077662736228
