src	agg
AT	Europe
BE	Europe
BG	Europe
CY	Europe
CZ	Europe
DE	Europe
DK	Europe
EE	Europe
ES	Europe
FI	Europe
FR	Europe
GR	Europe
HR	Europe
HU	Europe
IE	Europe
IT	Europe
LT	Europe
LU	Europe
LV	Europe
MT	Europe
NL	Europe
PL	Europe
PT	Europe
RO	Europe
SE	Europe
SI	Europe
SK	Europe
GB	Europe
US	Advanced
JP	Advanced
CN	Developing
CA	Advanced
KR	Advanced
BR	Developing
IN	Developing
MX	Developing
RU	Developing
AU	Advanced
CH	Europe
TR	Developing
TW	Advanced
NO	Norway
ID	Developing
ZA	Developing
WA	Developing
WL	Developing
WE	Developing
WF	Developing
WM	Developing
